Word,Time_s,F1_Hz,F2_Hz,F3_Hz,F4_Hz
your,1.065543,146.14951,1660.907856,2767.404969,4214.63421
your,1.071793,190.562837,1498.800352,2645.81779,3778.204527
your,1.078043,229.661116,1477.154442,2583.181858,3665.611173
your,1.084293,261.251811,1502.705298,2555.054979,3522.804074
your,1.090543,272.594912,1626.934529,2516.407071,3792.838286
your,1.096793,255.95852,1522.966945,2443.629048,3852.588051
your,1.103043,255.319533,1552.510848,2407.181834,3739.300891
your,1.109293,254.138211,1770.534184,2391.503903,3649.950801
your,1.115543,255.276149,1741.020182,2363.219544,3437.934814
your,1.121793,255.286168,2025.322514,2263.472355,3672.402349
your,1.128043,261.683414,2034.425941,2188.946775,3802.203458
your,1.134293,269.396319,1839.756958,2254.980755,3720.052545
your,1.140543,290.289534,1813.149322,2239.135127,3673.335427
your,1.146793,304.866067,1672.038525,2422.302369,3778.363894
your,1.153043,318.408091,1623.28791,2405.112885,3735.932585
your,1.159293,323.751214,1586.597551,2329.620042,3524.413273
your,1.165543,331.573856,1527.678612,2337.752821,3499.79655
your,1.171793,334.900487,1433.888259,2441.915114,3545.758433
your,1.178043,335.17414,1374.55644,2331.512519,3556.841493
your,1.184293,337.577851,1345.393192,2293.715745,3591.698879
your,1.190543,339.671526,1311.151429,2246.40042,3543.855242
your,1.196793,335.152858,1299.662142,2244.641769,3556.221169
your,1.203043,342.429567,1300.12162,2188.595857,3589.930011
your,1.209293,355.049849,1303.673609,2178.620164,3665.934139
your,1.215543,368.146025,1318.666896,2213.939914,3710.119644
your,1.221793,369.591404,1310.935138,2231.62519,3655.980555
your,1.228043,366.914674,1312.874662,2199.42001,3695.357113
your,1.234293,367.830674,1317.268187,2153.738371,3729.291079
your,1.240543,365.327646,1308.296647,2150.559744,3641.839993
your,1.246793,357.919266,1307.24406,2183.363786,3730.940092
your,1.253043,353.205472,1307.199735,2198.91078,3816.4869
your,1.259293,347.424176,1310.077208,2184.829339,3847.83249
your,1.265543,341.791727,1289.867282,2130.278029,3731.43707
your,1.271793,346.167202,1288.968598,2145.942831,3757.149455
your,1.278043,341.662938,1265.729316,2195.508853,3716.272492
your,1.284293,331.585862,1228.547346,2203.458756,3645.737302
your,1.290543,317.329124,1213.797991,2231.51836,3795.387283
your,1.296793,289.015861,1250.028896,2249.295547,3789.9123
your,1.303043,275.016255,1254.645276,2191.479151,3749.21987
your,1.309293,297.407327,1248.736468,2159.75632,3704.001628
your,1.315543,344.563031,1279.167126,2155.002356,3683.118927
your,1.321793,361.219987,1320.847767,2189.543967,3654.924461
your,1.328043,357.987439,1269.054492,2236.339275,3621.606979
your,1.334293,302.743972,1243.594935,2263.508998,3604.56715
your,1.340543,281.268067,1290.935562,2247.406611,3782.918378
your,1.346793,283.336512,1215.949992,2258.200428,3627.091992
your,1.353043,299.196937,1233.899779,2225.205353,3497.334061
your,1.359293,337.898023,1305.618314,2251.942937,3678.707573
your,1.365543,335.043599,1328.785269,2262.573231,3791.217961
good,1.371793,321.502373,1247.181382,2244.425618,3659.168762
good,1.378043,574.497593,1203.297015,2374.291234,3584.970388
good,1.384293,417.518272,1215.851199,2570.443425,3795.822268
good,1.390543,456.845321,1305.12067,2576.453182,4067.433299
good,1.396793,489.797819,1285.846021,2553.636982,4074.398995
good,1.403043,1279.311338,1563.105542,2905.726024,4206.283197
good,1.409293,124.791285,1284.541401,2325.145754,3837.318319
good,1.415543,299.214619,1269.885755,2330.78488,3845.666481
good,1.421793,305.302827,1351.38181,2309.966444,3746.311191
good,1.428043,303.185941,1287.879153,2302.934968,3716.586019
good,1.434293,304.734995,1259.071846,2315.974228,3687.853552
good,1.440543,314.513541,1252.444962,2346.824747,3640.725663
good,1.446793,307.574101,1237.458881,2280.357169,3686.829441
good,1.453043,308.071578,1244.352109,2290.482885,3657.064472
good,1.459293,315.838198,1233.415264,2358.677524,3673.155977
good,1.465543,315.782172,1205.312181,2398.838046,3714.990267
good,1.471793,311.838473,1232.185521,2362.034199,3634.496203
good,1.478043,305.461024,1248.513641,2384.669329,3656.970564
good,1.484293,302.987263,1242.935456,2408.122687,3660.81027
good,1.490543,300.721625,1241.270728,2471.687288,3634.61512
good,1.496793,308.049359,1245.959728,2468.488792,3665.005136
good,1.503043,310.706777,1255.801607,2454.444799,3691.721976
good,1.509293,309.243805,1276.26766,2496.09154,3651.326884
good,1.515543,321.731956,1302.887084,2487.946776,3615.572301
good,1.521793,328.715042,1316.753829,2496.118299,3582.697789
good,1.528043,320.010215,1320.221512,2544.542406,3613.021671
good,1.534293,303.320011,1478.128483,2505.316231,3576.253656
good,1.540543,291.007832,1516.741703,2530.055903,3564.778544
good,1.546793,293.126423,1519.118082,2536.670782,3518.969635
good,1.553043,268.512407,1382.08436,2520.9874,3504.771684
good,1.559293,245.817971,1241.359141,2515.542741,3634.930622
good,1.565543,242.451927,1236.252865,2484.629126,3611.507552
good,1.571793,225.630648,1306.180755,2487.195344,3667.936551
good,1.578043,221.452218,1397.365762,2571.137844,3705.433482
good,1.584293,185.967727,1513.297919,3132.91494,3846.061846
good,1.590543,231.26943,1518.069026,2689.499629,3750.887104
good,1.596793,226.631969,1427.879658,2601.907942,3772.541729
good,1.603043,233.443046,1347.964657,2519.550783,3885.273434
good,1.609293,236.500305,1266.428073,2447.716395,3828.185639
good,1.615543,243.780438,1307.980439,2289.841239,3762.148161
good,1.621793,243.840049,1328.683631,2259.614522,3701.614034
good,1.628043,255.06945,1331.290757,2418.531903,3770.5668
good,1.634293,252.350447,1411.825154,2419.375986,3822.548135
good,1.640543,248.168103,1453.712863,2339.789999,3844.085713
good,1.646793,261.732977,1292.848859,2417.986683,3633.054511
good,1.653043,255.240316,1427.323611,2373.223021,3758.68198
pants,1.659293,244.071927,1366.226745,2543.000962,3830.56336
pants,1.665543,253.086873,1338.071439,2667.067798,3921.693806
pants,1.671793,234.38373,1398.405544,2560.10352,3953.952634
pants,1.678043,245.428533,1359.953867,2312.956655,3783.726323
pants,1.684293,248.296531,1439.685585,2266.874684,3698.916304
pants,1.690543,246.384074,1416.22505,2265.813419,3666.435198
pants,1.696793,185.774848,1250.450831,2160.211809,3588.849638
pants,1.703043,220.660012,1318.577079,2349.773336,3716.822665
pants,1.709293,203.878777,1343.460497,2426.190223,3756.364957
pants,1.715543,1602.523977,2710.653744,4517.67662,--undefined--
pants,1.721793,1675.680803,2760.011868,4521.883282,--undefined--
pants,1.728043,291.656797,1698.008197,2881.328679,4503.033435
pants,1.734293,231.702323,1681.286274,2842.474995,3930.682682
pants,1.740543,781.90933,1645.673839,2744.786101,3690.660594
pants,1.746793,862.94951,1757.726005,2757.245939,3755.576705
pants,1.753043,846.297862,1743.72314,2832.693996,3826.984098
pants,1.759293,866.496932,1742.525068,2822.316563,3838.593015
pants,1.765543,868.542005,1775.71154,2788.911657,3757.058127
pants,1.771793,827.994452,1766.965916,2782.25589,3806.844083
pants,1.778043,783.69076,1731.861659,2785.855448,4050.177147
pants,1.784293,771.100083,1717.474334,2786.976165,4302.42845
pants,1.790543,816.216921,1706.647191,2811.556198,4038.895993
pants,1.796793,632.580483,1701.171157,2815.15862,4344.761075
pants,1.803043,382.965848,1696.556528,2779.36974,4750.572345
pants,1.809293,389.467196,1687.576108,2775.249516,4015.625203
pants,1.815543,314.427272,1679.359157,2798.368764,4036.837913
pants,1.821793,570.106278,1660.121411,2813.897865,3953.2254
pants,1.828043,537.485053,1677.726738,2796.023941,4523.044954
pants,1.834293,373.084897,1662.5771,2776.466658,4327.33334
pants,1.840543,350.234753,1715.266626,2766.032478,4504.519844
pants,1.846793,474.592181,1707.194978,2807.677462,4617.430481
pants,1.853043,509.840661,1717.201961,2654.986823,3022.604217
pants,1.859293,548.006025,1747.551185,2909.19464,4583.950097
pants,1.865543,722.082073,1789.841124,2863.71415,4607.822755
pants,1.871793,778.894633,1796.258261,2893.378053,4646.548439
pants,1.878043,803.859848,1780.015252,2842.424893,4667.637438
pants,1.884293,440.497953,1721.206691,2879.622586,4726.731918
pants,1.890543,418.678792,1697.275207,2954.965517,4675.685076
pants,1.896793,399.665703,1655.803788,2788.098373,4526.223885
pants,1.903043,615.870243,1607.307048,2846.933056,4608.862732
pants,1.909293,745.019939,1727.744869,2918.992823,4592.045729
pants,1.915543,715.049852,1721.1467,2881.347823,4659.891073
pants,1.921793,711.977492,1716.471172,2853.741666,4666.582235
pants,1.928043,725.231893,1711.428105,2931.140888,4657.341591
pants,1.934293,645.422085,1699.824637,2922.761808,4567.906016
pants,1.940543,536.024572,1723.358558,2996.14222,4597.731437
pants,1.946793,658.046073,1670.7873,2880.299131,4461.744756
pants,1.953043,419.767351,1401.074115,2787.344903,4373.485464
pants,1.959293,216.450804,1417.832299,2779.240817,4315.668866
pants,1.965543,283.852324,1453.70043,2753.168344,4291.147736
pants,1.971793,363.106481,1569.509401,2774.479975,4332.819284
pants,1.978043,344.619011,1519.200534,2804.952994,4318.697565
pants,1.984293,272.987242,1545.16418,2722.878372,4247.92843
pants,1.990543,309.027132,1561.387409,2753.893606,4331.022933
pants,1.996793,421.61738,1628.676718,2790.987097,4383.174078
pants,2.003043,294.775818,1610.825658,2811.763892,4340.258626
pants,2.009293,292.502749,1303.473963,2380.140089,4245.24277
pants,2.015543,277.751221,1489.122242,2674.900773,4289.039178
pants,2.021793,235.214223,1486.500202,2787.293377,4359.567026
pants,2.028043,650.871293,1724.579559,2803.715796,4299.853236
pants,2.034293,654.839601,1730.327541,2843.362336,4277.432979
pants,2.040543,369.250582,1701.711652,2821.248347,4259.892703
pants,2.046793,248.357847,1693.727193,2834.866553,4265.583116
pants,2.053043,547.476488,1679.152381,2882.407332,4234.556145
pants,2.059293,221.229891,1490.923317,2777.161869,4334.705542
pants,2.065543,216.422469,1582.613563,2791.878431,4409.564462
pants,2.071793,231.595988,1706.724921,2863.951401,4381.999348
pants,2.078043,224.178523,1705.179231,2130.303752,2988.702537
pants,2.084293,221.091059,1717.529025,3122.107098,4761.241448
pants,2.090543,719.245305,1775.15007,3180.065556,4425.706635
pants,2.096793,639.195983,1782.472909,3060.949169,4087.737712
pants,2.103043,249.402166,1720.841089,2666.525734,4049.126976
pants,2.109293,233.788443,1734.910843,2789.75195,4113.47882
pants,2.115543,637.75695,1741.137636,2988.732702,4056.694281
pants,2.121793,993.578812,1636.953258,3007.421091,4476.796982
pants,2.128043,1575.328963,2941.722339,4478.601558,4560.1899
pants,2.134293,1573.690443,2952.954732,4494.52451,4546.687685
pants,2.140543,1468.322652,2976.022841,4380.267042,4758.881931
pants,2.146793,1834.71363,3205.016145,4260.207329,4941.784086
pants,2.153043,1748.860565,3146.092649,4321.457508,4856.571387
pants,2.159293,1548.655734,3066.165212,4203.447906,4747.364649
pants,2.165543,1579.633453,3010.899079,4103.666071,4859.105556
pants,2.171793,1310.245019,2956.534024,4076.769318,4771.463122
pants,2.178043,2490.312266,3022.002786,4138.453317,4792.002619
pants,2.184293,2106.67205,3299.920623,4082.195446,4700.050269
pants,2.190543,1590.529326,3099.985437,4002.535777,4558.916605
pants,2.196793,1512.220678,2874.637441,3923.040171,4543.543028
pants,2.203043,1561.517779,2858.092302,3910.509032,4557.595733
pants,2.209293,1578.863743,2956.952485,3844.900889,4563.120255
pants,2.215543,1674.236828,3304.61046,3711.708527,4607.615701
pants,2.221793,1696.5717,2865.61744,3944.368621,4619.351746
pants,2.228043,1616.377511,2818.436611,3964.842799,4570.621521
pants,2.234293,1496.463575,2771.022256,3898.750481,4559.139354
pants,2.240543,1641.562314,2840.890751,3893.42006,4741.297455
pants,2.246793,1696.400236,2916.236748,3958.488113,4701.152252
pants,2.253043,1737.692239,2963.462845,3908.638161,4582.637809
pants,2.259293,1742.393856,2929.42884,3948.786362,4584.127346
pants,2.265543,1739.964778,3021.74543,3997.708567,4646.81673
pants,2.271793,1713.224211,3040.263304,3849.455421,4636.724256
pants,2.278043,1734.206698,3225.838694,3856.557063,4743.46008
pants,2.284293,1717.133571,3471.395999,3862.057932,4918.712987
pants,2.290543,1664.095368,3073.739745,3819.325494,4676.9357
pants,2.296793,1406.644602,3001.861336,3840.728348,4639.501431
pants,2.303043,1520.900587,3043.532297,3973.463462,4679.551999
pants,2.309293,1604.843985,2207.18011,3606.550146,4452.927619
pants,2.315543,1624.437268,3041.974529,3750.11366,4610.597352
pants,2.321793,389.710819,1624.675042,2987.757872,3882.802104
pants,2.328043,1381.778882,1884.599749,3858.917268,4476.032092
pants,2.334293,1197.078938,1996.954009,3788.557658,4253.3904
pants,2.340543,1411.753171,2271.981866,3871.883579,4713.498714
pants,2.346793,1554.867164,2772.286294,3877.950186,4685.854063
pants,2.353043,1595.271106,3365.314283,3802.23151,4664.164447
pants,2.359293,1598.530746,3730.718323,4245.222945,--undefined--
pants,2.365543,208.798531,1620.982845,3385.910779,3898.520482
pants,2.371793,1559.001165,3077.027146,3782.089628,4570.310192
pants,2.378043,1548.41362,2721.994071,3853.824029,4590.316949
pants,2.384293,1526.402659,2887.341226,3821.542609,4640.531766
pants,2.390543,1464.323137,2964.312467,3827.293573,4707.250051
pants,2.396793,1545.821743,2628.230394,3815.156269,4655.318689
pants,2.403043,137.939981,1582.508076,2813.474233,3853.389954
pants,2.409293,1620.844618,2744.76954,3828.556614,4704.44441
pants,2.415543,266.208655,1533.206257,2933.698124,3777.478071
pants,2.421793,1545.201694,2610.31264,3739.65135,4628.310584
pants,2.428043,1535.735181,2707.782246,3937.906611,4632.644566
pants,2.434293,1438.224881,2589.977645,3955.53151,4800.343573
pants,2.440543,585.272708,1447.600032,2531.059842,3848.178289
pants,2.446793,626.0426,1482.567279,2570.479287,3828.753083
pants,2.453043,518.486211,1458.048322,2622.660961,3853.513818
pants,2.459293,692.757958,1477.278816,2666.163077,3924.484009
look,2.465543,1161.989839,2613.766384,4022.309781,4590.311666
look,2.471793,1517.816147,2645.52661,4125.059375,4642.737204
look,2.478043,224.374204,1584.274528,2383.520718,4004.062916
look,2.484293,1088.678936,1925.382668,3834.933578,4046.648654
look,2.490543,1510.031019,2443.536708,3912.113433,4558.331726
look,2.496793,389.435107,1460.516095,2516.767503,3853.754096
look,2.503043,1313.468175,2269.826444,3834.102363,4666.600638
look,2.509293,1278.674363,2411.08732,3797.862286,4484.458602
look,2.515543,1258.771782,2732.782561,3868.306702,4448.149066
look,2.521793,1201.225261,2442.351164,3664.1087,4458.80254
look,2.528043,1153.574627,1982.957033,3561.422499,4518.896278
look,2.534293,1236.205158,1963.817217,3370.943316,4483.803421
look,2.540543,1214.519206,2700.169168,4262.425476,4373.656156
look,2.546793,1176.706159,2256.762337,3424.016402,4374.156061
look,2.553043,134.97677,1372.559122,2603.079123,4288.489975
look,2.559293,199.180543,1281.978732,2841.920893,4303.527596
look,2.565543,296.4183,1519.340984,2983.157641,4301.707429
look,2.571793,278.295199,1657.357825,2902.570392,4144.08864
look,2.578043,262.724848,1537.54819,2821.785413,4287.562691
look,2.584293,282.753198,1484.319662,2817.099148,4290.566124
look,2.590543,300.694253,1377.194347,2733.886885,4201.727462
look,2.596793,327.259601,1349.509014,2638.76276,4087.001466
look,2.603043,329.136989,1319.515928,2594.179577,3880.130419
look,2.609293,331.594379,1313.959986,2588.428699,3936.890299
look,2.615543,331.584639,1297.783072,2594.982634,3996.076344
look,2.621793,316.55174,1290.048068,2600.863283,3840.596704
look,2.628043,319.178563,1272.595827,2579.892778,4078.741093
look,2.634293,310.595742,1243.803689,2545.55415,3778.088084
look,2.640543,287.971163,1240.548416,2543.262524,3803.563412
look,2.646793,290.791645,1212.638515,2538.326933,3864.604512
look,2.653043,287.328273,1203.810192,2524.660382,3895.206687
look,2.659293,276.969198,1177.987087,2549.358942,3963.603967
look,2.665543,262.682656,1201.877057,2631.943718,3962.208116
look,2.671793,252.281888,1213.67932,2690.363874,3947.905842
look,2.678043,259.692333,1270.722575,2509.570888,3928.216037
look,2.684293,250.387739,1389.071167,2451.735359,3955.271272
look,2.690543,253.790629,1429.488892,2437.340336,3972.598565
look,2.696793,246.128991,1483.204709,2391.848873,4032.715717
look,2.703043,236.712265,1531.417336,2536.630743,4093.452819
look,2.709293,250.434493,1467.094539,2526.035558,4041.769898
look,2.715543,257.711543,1354.712776,2384.305971,3973.640003
look,2.721793,246.429216,1327.489945,2517.511768,4011.991527
look,2.728043,239.641523,1332.835322,2523.068431,4005.406523
look,2.734293,233.331935,1334.382662,2490.825725,3906.899611
look,2.740543,250.38188,1257.620216,2405.784329,3960.667143
look,2.746793,254.234734,1294.826867,2306.599872,3941.501392
look,2.753043,264.143486,1358.200194,2286.096048,4051.457358
look,2.759293,232.424223,1393.11599,2338.30016,3957.624594
look,2.765543,219.620565,1354.238823,2129.347263,3857.17659
look,2.771793,189.567578,1380.757896,2227.261913,3938.493852
look,2.778043,229.965037,1319.731475,2249.148634,3958.938381
look,2.784293,215.232945,1287.471168,2275.684947,4034.123268
look,2.790543,181.933924,1222.647328,2603.845041,4145.028338
look,2.796793,184.107119,1323.132719,2465.755724,3915.637474
great,2.803043,241.060747,1547.142255,2202.624718,3597.654776
great,2.809293,249.300023,1691.026957,2140.438469,3463.204746
great,2.815543,245.126889,1723.686355,2951.382284,4110.554631
great,2.821793,171.752615,1555.592625,2686.689259,3986.782972
great,2.828043,1046.039197,1460.806095,3291.99744,4334.871112
great,2.834293,1051.528043,1427.374702,3285.93727,4401.258483
great,2.840543,963.857846,1478.153248,3184.832364,4231.979905
great,2.846793,830.305969,1333.302412,3208.133272,4180.41708
great,2.853043,462.030961,1224.968294,2761.977253,3407.323845
great,2.859293,1132.74388,1745.106068,3249.833425,4453.994236
great,2.865543,1152.571904,1817.257838,3299.454847,4274.899081
great,2.871793,1069.426666,1725.805697,3112.845302,4298.605527
great,2.878043,1091.108167,1732.550523,3109.939372,4445.334273
great,2.884293,1092.802592,1797.12517,2955.765654,4439.97189
great,2.890543,1077.768307,1819.154888,2890.784453,4422.667626
great,2.896793,940.304994,1785.673179,2833.597036,4534.010277
great,2.903043,318.817114,1386.821749,2620.757646,3029.493527
great,2.909293,331.083246,1252.233388,2257.219524,3540.772128
great,2.915543,360.178795,1196.522798,2285.044364,3722.653386
great,2.921793,377.690439,1236.43851,2138.008326,3609.978857
great,2.928043,392.19407,1270.653965,2095.561778,3369.191331
great,2.934293,394.608848,1331.406556,2078.501284,3339.808285
great,2.940543,404.501908,1352.745263,2086.127591,3292.653986
great,2.946793,430.897488,1408.718234,2099.569697,3277.981264
great,2.953043,482.407688,1460.27387,2097.75427,3211.708095
great,2.959293,480.455715,1508.773562,2154.750687,3213.967572
great,2.965543,483.906007,1557.567653,2183.148089,3216.217026
great,2.971793,500.994089,1590.062547,2199.020281,3228.590216
great,2.978043,509.612604,1660.307622,2213.098393,3251.746577
great,2.984293,498.053303,1766.655874,2321.525438,3236.378024
great,2.990543,448.707366,1771.452511,2433.025381,3274.270781
great,2.996793,476.798821,1800.244269,2488.59185,3330.624842
great,3.003043,477.69967,1882.997844,2393.282424,3327.631249
great,3.009293,495.833363,1778.364005,2419.714155,3444.962517
great,3.015543,457.178833,1742.627485,2491.555565,3565.350472
great,3.021793,403.65506,1646.595751,2488.798535,3556.420377
great,3.028043,327.421961,1614.653953,2502.522083,3601.026849
great,3.034293,311.814838,1607.920955,2546.732925,3543.443788
great,3.040543,327.322029,1553.636894,2537.33745,3598.470656
great,3.046793,320.280882,1677.969776,2562.968496,3510.383687
great,3.053043,236.233311,1751.450826,2509.771187,3516.094435
great,3.059293,287.193824,1698.830047,2489.574813,3482.705599
great,3.065543,339.080269,1597.293367,2531.533126,3747.979275
great,3.071793,336.331038,1564.406918,2515.528423,3720.942529
great,3.078043,268.254757,1560.655288,2487.899877,3795.595
great,3.084293,1577.389171,2659.810415,4093.359391,--undefined--
great,3.090543,1038.972065,1811.00653,2778.726493,4027.728996
great,3.096793,971.078481,1853.612571,2616.775289,4162.778183
great,3.103043,257.243608,1783.25747,2508.582137,4185.01577
great,3.109293,395.102501,1671.311403,2127.937115,2753.28727
great,3.115543,427.247216,1668.450943,2615.62908,2896.465233
great,3.121793,364.989683,1644.584596,2573.913727,3209.765259
great,3.128043,1619.654078,2345.006669,4117.572982,4638.848642
great,3.134293,1474.690858,2316.685039,3929.880718,4643.845602
great,3.140543,1522.044389,2396.830638,3892.883075,4545.896272
great,3.146793,1689.347462,2307.517378,4277.157281,--undefined--
great,3.153043,152.151596,1844.218577,2520.808139,4146.219253
great,3.159293,246.966832,1663.592049,2485.375026,4066.782197
great,3.165543,294.357928,1568.84892,2297.132205,3792.030584
great,3.171793,1507.29092,2309.197998,3731.74346,5112.139487
great,3.178043,1446.27462,2112.415459,2215.237689,3939.622576
great,3.184293,1351.106285,2040.283031,2582.983961,4193.580563
great,3.190543,272.302805,1465.372096,2255.34411,3843.902885
great,3.196793,174.842536,1471.345073,2294.299592,3716.378994
great,3.203043,1436.738858,2297.399919,3813.167667,5006.330403
great,3.209293,258.438389,1489.503332,2290.309337,4120.227532
great,3.215543,1471.462676,1615.405924,2119.130449,4072.023085
great,3.221793,1123.769075,1907.867853,2686.917672,4324.001209
great,3.228043,1110.146809,2043.242057,2739.223744,4247.330109
great,3.234293,1094.962048,1781.581315,2868.903326,4091.156823
great,3.240543,1329.997016,1665.407916,2818.456147,4021.498802
great,3.246793,1488.753022,2437.625225,3582.801658,--undefined--
great,3.253043,1355.317847,2406.220436,4279.974349,4655.987454
great,3.259293,1090.723148,2189.938986,4086.120767,4513.16309
great,3.265543,1125.398408,2696.793061,4185.772236,4562.032317
great,3.271793,810.153425,1361.997649,2621.084838,4097.149633
great,3.278043,1586.966525,2760.232804,4158.692079,4791.436785
great,3.284293,1689.543937,3119.282899,4208.570218,4801.704021
great,3.290543,1722.07759,3057.35386,4221.784038,4908.658984
great,3.296793,1570.827823,2742.229445,4096.289557,4790.037407
great,3.303043,1657.783862,2784.471227,4142.121136,4719.753965
great,3.309293,149.512385,1720.056118,2766.086827,4108.514919
great,3.315543,438.060709,1727.583723,2762.883517,4080.974331
great,3.321793,1680.21465,2771.494844,3930.613742,4852.052542
great,3.328043,222.810863,1712.375258,2734.222655,3959.058543
great,3.334293,504.135693,1738.667952,2674.565572,3972.516174
great,3.340543,506.676184,1722.81921,2727.248684,3971.835482
great,3.346793,540.515156,1703.724899,2751.797592,3956.126701
great,3.353043,550.499795,1647.766056,2707.020783,3962.924775
great,3.359293,322.185232,1656.401733,2792.608026,3994.701216
great,3.365543,499.610561,1701.549187,2667.77436,3944.683572
great,3.371793,700.606016,1852.669413,3872.376694,4819.150935
great,3.378043,239.974603,1538.888688,2528.443749,4031.418292
great,3.384293,89.955011,1572.719179,2455.243731,4076.18963
great,3.390543,1624.48319,2339.092498,3965.339845,4824.437793
great,3.396793,1496.27063,2168.938712,3884.87351,4847.468928
